,id,sku,max_image
0,103682599,7076861254597,4
1,176818958,6576642454934,4
2,119214657,1966875153167,6
3,164789853,3690478835294,3
4,208440729,9890883168793,9
5,254207022,9913525103865,1
6,259538898,6877144161520,3
7,146045291,9953070677677,6
8,98297802,9850265174329,4
9,95486564,6391728874327,6
10,192796419,5248511609038,1
11,181237205,9920430625145,4
12,124778290,5762001240007,2
13,143363213,5328690925929,5
14,162782918,4016792820966,2
15,68490286,8539099713994,5
16,176818787,2700709380147,5
17,86379293,3691229721959,4
18,170443283,9498584686944,2
19,144181471,6160976138280,9
20,125781054,7667939895988,2
21,117320164,1717037509537,7
22,86328492,5656230349963,6
23,153258290,9869963891012,1
24,170442567,9672325194873,5
25,151751324,1009436707321,6
26,202863335,1703397705537,12
27,242703595,8619638112975,2
28,147777760,3318308185737,2
29,244111699,3056860211625,5
30,242704307,4750869707776,2
31,171127233,8168910202551,3
32,140967559,2473008634148,6
33,242704478,8841132678344,4
34,244119728,9027216445740,6
35,184760782,5127723021471,3
36,140965976,7805890071239,6
37,217444388,4549581490197,4
38,259541200,6872330642927,5
39,248442503,2739282974925,10
40,217463273,5237757429030,4
41,259538800,2520479554686,9
42,242703834,4968873746348,5
43,144180724,9227958744268,5
44,179445693,9023155795012,7
45,79579191,7813709662240,3
46,136202811,4477318289847,3
47,128675070,1123660661250,4
48,124778123,3406381402356,4
49,2635535,2147646909583,7
50,144179867,1624512575421,3
51,146036890,9549239720352,6
52,102796795,9313431203967,7
53,101870097,9586558693792,9
54,136202614,5650466784511,9
55,167489253,3374168319893,5
56,202864155,6743742494086,10
57,71890733,6304818631390,6
58,101869422,8326117152749,8
59,147778748,5337299712038,4
60,144180394,1730573958423,6
61,124777109,1555496770940,2
62,151750770,9969713620989,8
63,99325405,3909778011813,9
64,192980271,8789443269227,10
65,78956469,7930688508387,2
66,84723171,9338027666473,5
67,170442673,2856428306985,6
68,180595173,3964390336818,4
69,169272310,7139428332352,3
70,144179933,8373150919125,5
71,200991955,6921281362692,4
72,127191691,7724285114803,1
73,192985357,2220538782777,5
74,175784371,2049005257290,3
75,214945551,2114676602833,6
76,167489224,4888288701213,5
77,186312390,3056204752358,6
78,172534557,3497162222993,1
79,175833032,1008001876761,3
80,186310109,9766398149702,8
81,242703854,3284478381065,7
82,153580174,2921223817055,8
83,147778764,7072351686302,1
84,144179586,2960351201909,7
85,192984786,9869337567595,5
86,67717645,6899379892255,1
87,162017408,6149841749292,1
88,76366645,6493574727949,5
89,225317266,3129269069309,8
90,184760682,5851266837295,5
91,96303732,9571706210068,4
92,138479668,5331507495515,3
93,169462849,4781141712459,6
94,147776768,4666384016122,4
95,125579974,7349097279158,7
96,167452232,1788413412021,9
97,179567891,4051905098580,5
98,179912077,2493859315686,10
99,163824690,9721034876403,1
100,169042419,6924489158952,3
101,147777730,3906402698244,3
102,34441974,1363125078491,1
103,146391642,8062487363827,1
104,127191633,6769541500365,1
105,178339926,3383743015996,8
106,136202494,9443462157757,1
107,160221343,8809227592007,8
108,149773666,4388837325410,8
109,145249215,3204571650753,3
110,202854321,6772557255113,9
111,127088140,1000156010134,8
112,160212644,3321961211185,8
113,149757671,1484706931926,8
