iter	RMSE
175	7.568910388
176	7.555621266
177	7.539894155
178	7.527007398
179	7.509297015
180	7.482408351
181	7.458813127
182	7.433016742
183	7.414340608
184	7.395094228
185	7.36640229
186	7.360385837
187	7.33554545
188	7.322696461
189	7.299738322
190	7.260723711
191	7.230798244
192	7.208434252
193	7.193477322
194	7.187666892
195	7.154729175
196	7.14067588
197	7.113037252
198	7.092554121
199	7.074282868
200	7.044607979
201	7.01979214
202	6.996145913
203	6.979330953
204	6.969324055
205	6.949757524
206	6.933833428
207	6.922627433
208	6.90912119
209	6.892301106
210	6.868198366
211	6.851673179
212	6.824991017
213	6.809590529
214	6.802907387
215	6.794051504
216	6.777194349
217	6.770738278
218	6.754227144
219	6.738736972
220	6.732179861
221	6.72719768
222	6.707555413
223	6.690439482
224	6.686439545
225	6.676289175
226	6.636971728
227	6.627816977
228	6.620351854
229	6.612740045
230	6.604179487
231	6.591742046
232	6.574942123
233	6.562259979
234	6.557675746
235	6.523825037
236	6.519682118
237	6.511720141
238	6.496823705
239	6.484500282
240	6.466950434
241	6.460325824
242	6.457714884
243	6.450956705
244	6.44846826
245	6.416561765
246	6.411006123
247	6.40033456
248	6.389682837
249	6.373148132
250	6.364547103
251	6.352864034
252	6.348119058
253	6.332578165
254	6.327038278
255	6.324765538
256	6.310687172
257	6.308317382
258	6.304663262
259	6.29517357
260	6.283028984
261	6.269609396
262	6.264850487
263	6.249061628
264	6.237333624
265	6.226373989
266	6.219079957
267	6.212704856
268	6.202713635
269	6.193129529
270	6.18824598
271	6.184068535
272	6.174594123
273	6.164463029
274	6.161852608
275	6.150091564
276	6.131356316
277	6.123287222
278	6.118389542
279	6.107340885
280	6.101776396
281	6.090934636
282	6.086370109
283	6.057789995
284	6.048613425
285	6.035235923
286	6.032263231
287	6.026321778
288	6.01633091
289	6.011335509
290	6.00887364
291	6.001755959
292	5.990003356
293	5.96880552
294	5.963744461
295	5.952336342
296	5.946308239
297	5.93949737
298	5.931802782
299	5.916404585
300	5.907426258
301	5.903832398
302	5.89815413
303	5.888571135
304	5.880765267
305	5.87702842
306	5.872549288
307	5.865935377
308	5.861739607
309	5.852786245
310	5.836036276
311	5.833811344
312	5.82750344
313	5.825509755
314	5.822069247
315	5.813172743
316	5.810777029
317	5.805954129
318	5.797711388
319	5.79361809
320	5.782521076
321	5.773165745
322	5.765554843
323	5.759295414
324	5.752689208
325	5.745612797
326	5.734548315
327	5.726624121
328	5.721679613
329	5.715967335
330	5.704298839
331	5.697989079
332	5.691184507
333	5.685010286
334	5.67902766
335	5.672989621
336	5.666006681
337	5.664947337
338	5.656168835
339	5.652869954
340	5.650886096
341	5.646320143
342	5.633312414
343	5.62766851
344	5.625750514
345	5.607009948
346	5.602159864
347	5.59752324
348	5.587444497
349	5.577799411
350	5.576391261
351	5.57267015
352	5.565712069
353	5.564235378
354	5.556907537
355	5.55261299
356	5.533338664
357	5.52083933
358	5.514417771
359	5.510223869
360	5.502060334
361	5.499477868
362	5.496548943
363	5.494857714
364	5.484622244
365	5.479098743
366	5.465906387
367	5.458038092
368	5.45338836
369	5.444110648
370	5.439117765
371	5.437421562
372	5.431430807
373	5.427761231
374	5.423694733
375	5.418796951
376	5.41326076
377	5.407165945
378	5.402173451
379	5.398276266
380	5.390034661
381	5.386075029
382	5.377479636
383	5.375995133
384	5.368105576
385	5.362356514
386	5.358890909
387	5.343555116
388	5.338350942
389	5.332231951
390	5.324989198
391	5.323456314
392	5.312651286
393	5.307293283
394	5.304569414
395	5.292434928
396	5.286824419
397	5.281304726
398	5.279803592
399	5.275458598
400	5.274217347
401	5.271396956
402	5.262667321
403	5.258718919
404	5.254102434
405	5.247317119
406	5.238521212
407	5.234847578
408	5.229127665
409	5.227975037
410	5.220077406
411	5.215429522
412	5.214119086
413	5.211109506
414	5.201599587
415	5.197935243
416	5.186783487
417	5.174992529
418	5.172175901
419	5.162897317
420	5.160568543
421	5.150737454
422	5.149180144
423	5.144001974
424	5.13855429
425	5.135939174
426	5.13233725
427	5.128759294
428	5.121386124
429	5.117103768
430	5.106773299
431	5.101321241
432	5.098212441
433	5.093849126
434	5.088959234
435	5.077613107
436	5.073465566
437	5.070170944
438	5.067476662
439	5.063780674
440	5.061589597
441	5.057726514
442	5.051950142
443	5.047245729
444	5.036229598
445	5.034106256
446	5.029701353
447	5.02642738
448	5.025733254
449	5.023701581
450	5.013254894
451	5.007958935
452	5.003198213
453	4.999341005
454	4.995648532
455	4.992406177
456	4.981836028
457	4.979665635
458	4.97731984
459	4.972141439
460	4.968435148
461	4.965959386
462	4.96514562
463	4.957091886
464	4.952913835
465	4.948774752
466	4.945238124
467	4.936620471
468	4.931334779
469	4.922571977
470	4.919401448
471	4.916944473
472	4.913850656
473	4.912157834
474	4.905520069
475	4.904391991
476	4.900471867
477	4.895239155
478	4.892219038
479	4.890420773
480	4.888212015
481	4.883945273
482	4.881457452
483	4.879201837
484	4.873141489
485	4.871213078
486	4.869860181
487	4.866759531
488	4.858096531
489	4.852945537
490	4.848597863
491	4.843290204
492	4.84245437
493	4.831268485
494	4.825621361
495	4.821930681
496	4.813551193
497	4.809440355
498	4.808243596
499	4.802286771
500	4.79984645
501	4.796210987
502	4.790148599
503	4.786810882
504	4.782403989
505	4.774195412
506	4.771006318
507	4.769193313
508	4.763750996
509	4.760739472
510	4.759859561
511	4.755753329
512	4.751785473
513	4.7494713
514	4.747694227
515	4.746117632
516	4.738384102
517	4.734715801
518	4.732319504
519	4.72645264
520	4.722916418
521	4.720185182
522	4.715647916
523	4.709467008
524	4.703179819
525	4.698099907
526	4.695817217
527	4.693428057
528	4.688389832
529	4.686660349
530	4.684160732
531	4.682965673
532	4.678026132
533	4.672800878
534	4.668572958
535	4.665305962
536	4.657205542
537	4.65540629
538	4.651365165
539	4.648075062
540	4.645907613
541	4.64166692
542	4.636332443
543	4.63520495
544	4.633044335
545	4.63114951
546	4.628612601
547	4.62567377
548	4.620174962
549	4.618768274
550	4.616840628
551	4.615648881
552	4.612431785
553	4.608192061
554	4.602746246
555	4.598879195
556	4.59412381
557	4.590083022
558	4.588435437
559	4.58388764
560	4.581549197
561	4.579565509
562	4.577301827
563	4.57315222
564	4.56969737
565	4.554211035
566	4.550497138
567	4.54810135
568	4.545492989
569	4.541661295
570	4.538057926
571	4.535631265
572	4.534875898
573	4.533690263
574	4.529103247
575	4.526513393
576	4.524372096
577	4.520575592
578	4.519478764
579	4.518910757
580	4.513949935
581	4.510850188
582	4.509575825
583	4.506036422
584	4.503817221
585	4.501927628
586	4.49969921
587	4.493461103
588	4.491730671
589	4.49091105
590	4.487909934
591	4.486815814
592	4.484674083
593	4.480926832
594	4.479821107
595	4.477256179
596	4.476564661
597	4.473366026
598	4.471860705
599	4.466517899
600	4.465429637
601	4.464153126
602	4.4610452
603	4.456860469
604	4.453425441
605	4.451442051
606	4.447706556
607	4.446773897
608	4.44576079
609	4.444453029
610	4.442435426
611	4.439235365
612	4.437289887
613	4.434742779
614	4.431392572
615	4.427816034
616	4.426670208
617	4.426085406
618	4.423345801
619	4.421863662
620	4.419272696
621	4.41712574
622	4.415514232
623	4.414014328
624	4.411640533
625	4.410376085
626	4.409085993
627	4.40544795
628	4.402320373
629	4.39101318
630	4.389448013
631	4.388703444
632	4.386925197
633	4.384429895
634	4.381944887
635	4.380965788
636	4.379079232
637	4.377110473
638	4.374655052
639	4.372626873
640	4.370007985
641	4.368936404
642	4.367412584
643	4.36420007
644	4.362981317
645	4.362033056
646	4.36020848
647	4.35860529
648	4.357407049
649	4.352830952
650	4.351258803
651	4.349016509
652	4.343780957
653	4.340537637
654	4.338743774
655	4.334029826
656	4.333257036
657	4.328441105
658	4.324651357
659	4.322726144
660	4.319345922
661	4.316992494
662	4.314058848
663	4.313381135
664	4.312383052
665	4.31164375
666	4.306932441
667	4.304973718
668	4.299255826
669	4.296308882
670	4.293513159
671	4.291076085
672	4.288252363
673	4.285868398
674	4.282432679
675	4.28103664
676	4.278363147
677	4.276479873
678	4.275241194
679	4.274467431
680	4.273367813
681	4.27036988
682	4.267509655
683	4.266601381
684	4.264769248
685	4.262460396
686	4.261286188
687	4.260175898
688	4.258329448
689	4.254952006
690	4.252561338
691	4.249142591
692	4.246728168
693	4.244170296
694	4.242530804
695	4.24021721
696	4.238331055
697	4.237102769
698	4.235393124
699	4.233033237
700	4.232242209
701	4.230167169
702	4.228878222
703	4.228084646
704	4.224998228
705	4.224291154
706	4.221513915
707	4.220328891
708	4.212467711
709	4.210739659
710	4.20931412
711	4.206308605
712	4.205007912
713	4.202117304
714	4.19954264
715	4.196014976
716	4.193987845
717	4.192547215
718	4.189502695
719	4.186886132
720	4.186664577
721	4.185186
722	4.181157868
723	4.178992981
724	4.178214478
725	4.177621845
726	4.176845262
727	4.174487596
728	4.171495146
729	4.169806298
730	4.167895946
731	4.16671964
732	4.164842068
733	4.161939509
734	4.160699518
735	4.159774658
736	4.156837631
737	4.154771353
738	4.151356523
739	4.148383712
740	4.146849781
741	4.144297831
742	4.143399818
743	4.141006486
744	4.139410191
745	4.134343785
746	4.133462987
747	4.131638705
748	4.127670048
749	4.125448596
750	4.123877359
751	4.118778807
752	4.116009453
753	4.103733079
754	4.101421781
755	4.097666995
756	4.094902461
757	4.094534543
758	4.091475804
759	4.088487032
760	4.086078607
761	4.082747995
762	4.078998256
763	4.076483415
764	4.074496669
765	4.072508245
766	4.070382687
767	4.068452882
768	4.066463184
769	4.063159851
770	4.062039873
771	4.060864447
772	4.058644123
773	4.057241338
774	4.054089147
775	4.050708269
776	4.0475688
777	4.044227787
778	4.042375549
779	4.039978905
780	4.037595218
781	4.034980499
782	4.034456944
783	4.032567709
784	4.031263115
785	4.028291628
786	4.025644336
787	4.024118279
788	4.022588853
789	4.022362328
790	4.019869727
791	4.018872761
792	4.016788442
793	4.014115923
794	4.010537161
795	4.010060003
796	4.005808737
797	4.001028902
798	3.997531163
799	3.997110573
800	3.993930527
801	3.993176282
802	3.991017555
803	3.988498181
804	3.986913016
805	3.982503793
806	3.981530749
807	3.980035621
808	3.977709364
809	3.976724656
810	3.974615189
811	3.972251301
812	3.970161729
813	3.967023557
814	3.965257999
815	3.960699421
816	3.958507162
817	3.957717282
818	3.957161699
819	3.95575214
820	3.95300636
821	3.951194717
822	3.948893752
823	3.947677575
824	3.944176471
825	3.941015377
826	3.938375204
827	3.93589785
828	3.93350788
829	3.931983978
830	3.93052491
831	3.928200581
832	3.924071933
833	3.923230427
834	3.92215833
835	3.921335206
836	3.920522346
837	3.917916453
838	3.913678263
839	3.913042741
840	3.91017688
841	3.908060516
842	3.907064412
843	3.905998992
844	3.905060398
845	3.903988569
846	3.90173138
847	3.900665719
848	3.898990924
849	3.898050082
850	3.894997035
851	3.894136806
852	3.892224691
853	3.891499425
854	3.889575741
855	3.887965968
856	3.886812716
857	3.884793839
858	3.882454351
859	3.880395072
860	3.878614863
861	3.878064275
862	3.87775364
863	3.874569298
864	3.87254541
865	3.870392175
866	3.869699142
867	3.86656251
868	3.865675286
869	3.864663365
870	3.863132745
871	3.859700012
872	3.858848246
873	3.85670199
874	3.85613198
875	3.85254811
876	3.851868269
877	3.851129232
878	3.849689753
879	3.847860719
880	3.846958777
881	3.844565835
882	3.842650605
883	3.84002008
884	3.838586692
885	3.83728415
886	3.83548522
887	3.832871839
888	3.829599358
889	3.828382418
890	3.827904133
891	3.824699504
892	3.822257969
893	3.819445245
894	3.81780736
895	3.817070644
896	3.813281958
897	3.812020201
898	3.807291136
899	3.803665601
900	3.799774574
901	3.796799956
902	3.79496844
903	3.793912118
904	3.793504708
905	3.793092741
906	3.792343093
907	3.788073994
908	3.787273402
909	3.784893553
910	3.783385322
911	3.780381479
912	3.779572371
913	3.776651054
914	3.77488978
915	3.77436291
916	3.773806694
917	3.772916837
918	3.771928271
919	3.770533809
920	3.769651941
921	3.76713708
922	3.766669483
923	3.766066506
924	3.765539631
925	3.763968387
926	3.762781619
927	3.761194485
928	3.759536255
929	3.75725254
930	3.755973985
931	3.754607616
932	3.752874311
933	3.749824903
934	3.748809653
935	3.747765733
936	3.745382309
937	3.742306667
938	3.740514141
939	3.739407116
940	3.738655687
941	3.736969389
942	3.733757703
943	3.731884451
944	3.72957018
945	3.729366263
946	3.720418997
947	3.718480164
948	3.717378632
949	3.716001359
950	3.714372214
951	3.713034761
952	3.71200045
953	3.711318971
954	3.709654981
955	3.708192135
956	3.705078107
957	3.70491427
958	3.703035501
959	3.702247226
960	3.700578056
961	3.699526985
962	3.698307837
963	3.696727322
964	3.695805041
965	3.692694686
966	3.691317257
967	3.690743708
968	3.690011549
969	3.689679826
970	3.687060059
971	3.684742302
972	3.68315325
973	3.681729614
974	3.680393205
975	3.675921944
976	3.675145216
977	3.672775795
978	3.671927423
979	3.671129292
980	3.670519921
981	3.66732697
982	3.666995728
983	3.663892306
984	3.66062223
985	3.659613139
986	3.656095877
987	3.654000303
988	3.653439376
989	3.651562024
990	3.649973165
991	3.648358095
992	3.645474289
993	3.643779232
994	3.642390106
995	3.641071237
996	3.631219082
997	3.629235905
998	3.628845346
999	3.625803728
1000	3.624406634
1001	3.621871962
1002	3.618831931
1003	3.617557018
1004	3.616938381
1005	3.615613827
1006	3.614894684
1007	3.613473164
1008	3.611250936
1009	3.610567691
1010	3.609601108
1011	3.607584882
1012	3.605286166
1013	3.604489744
1014	3.603640415
1015	3.599723493
1016	3.598672385
1017	3.598235375
1018	3.597191008
1019	3.59631519
1020	3.594652516
1021	3.592249493
1022	3.590229421
1023	3.589440046
1024	3.586158971
1025	3.585514718
1026	3.583053542
1027	3.582137932
1028	3.581225315
1029	3.580502586
1030	3.57932359
1031	3.578809118
1032	3.576608215
1033	3.574767062
1034	3.571303462
1035	3.570725714
1036	3.569004645
1037	3.567640607
1038	3.565135077
1039	3.564361391
1040	3.563252208
1041	3.560872384
1042	3.559461549
1043	3.555015936
1044	3.552701786
1045	3.550721879
1046	3.549365165
1047	3.547651299
1048	3.546115295
1049	3.54491745
1050	3.542932601
1051	3.541342231
1052	3.539214957
1053	3.537559789
1054	3.536705441
1055	3.533720878
1056	3.532919579
1057	3.531847785
1058	3.529777629
1059	3.524849742
1060	3.523307322
1061	3.522162406
1062	3.520850038
1063	3.520351379
1064	3.518889219
1065	3.516194273
1066	3.513485618
1067	3.512736294
1068	3.511833031
1069	3.511123702
1070	3.509929355
1071	3.507558996
1072	3.506247551
1073	3.505331012
1074	3.504249498
1075	3.497747258
1076	3.496785336
1077	3.495500609
1078	3.494264257
1079	3.493403944
1080	3.492089967
1081	3.489607755
1082	3.488093683
1083	3.487591296
1084	3.485732146
1085	3.484756059
1086	3.482866691
1087	3.481091344
1088	3.478929
1089	3.477931755
1090	3.477080032
1091	3.476243481
1092	3.474168181
1093	3.472861674
1094	3.471254322
1095	3.469470126
1096	3.463090053
1097	3.46186555
1098	3.460811537
1099	3.459539469
