,product_id
0,247730281
1,263071759
2,252423003
3,203949614
4,187266104
5,183330021
6,189658085
7,142545270
8,91612670
9,177343384
10,216174917
11,250109584
12,194034217
13,103168844
14,263041214
15,197216291
16,120295859
17,57809866
18,197211969
19,179547641
20,203763209
21,99862142
22,125182567
23,214756058
24,263032132
25,125182567
26,168304536
27,184059211
28,203764665
29,103168844
30,170497385
31,184036446
32,184253251
33,175845367
34,247823537
35,173764601
36,197889905
37,214756058
38,247730281
39,250109584
40,197966909
41,177746939
42,126682340
43,209927605
44,205846229
45,191350420
46,196873103
47,198671718
48,191477618
49,175967811
50,171897574
51,209872337
52,181452535
53,181928619
54,201548628
55,196873058
56,242434782
57,121059239
58,247730209
59,181927801
60,164213695
61,191820153
62,197214015
63,249534908
64,171934203
65,247731336
66,55518608
67,195333531
68,247829297
69,171190775
70,184696247
71,31261844
72,203949614
73,121744434
74,184248127
75,163914808
76,201067649
77,126075551
78,55197731
79,204237269
80,197214029
81,247299188
82,140741819
83,217706932
84,197652030
85,220684617
86,141087694
87,247341025
88,205815614
89,247016383
90,195317118
91,125600698
92,244303202
93,252586291
94,164697930
95,150724369
96,123345348
97,195311658
98,197905982
99,220680981
100,246167380
101,207761759
102,23865953
103,139632023
104,252073161
105,248766283
106,221274391
107,198363821
108,203278278
109,172178476
110,252427658
111,155339564
112,225936344
113,65492829
114,230203067
115,203864283
116,215455584
117,194034217
118,209399977
119,180381390
120,157835051
121,197666071
122,226946394
123,248745868
124,169547788
125,143359355
126,119464777
127,141663080
128,179589103
129,164318603
130,252883198
131,129167418
132,58065346
133,214143153
134,212441034
135,252428990
136,173387789
137,225938665
138,149776401
139,125753416
140,170448099
141,251772653
142,133545037
143,181977398
144,174630782
145,190530084
146,108888574
147,197653568
148,217504285
149,188698092
150,153581522
151,251254382
152,217627416
153,194037967
154,134844715
155,212261734
156,140184098
157,118130919
158,137864049
159,181264344
160,11251951
161,164318507
162,117927643
163,248613625
164,167267098
165,201933481
166,197143907
167,212924392
168,125753599
169,255316890
170,215902961
171,198254452
172,177141832
173,87866915
174,201003623
175,160051494
176,181927774
177,158895857
178,225920758
179,108889353
180,162593114
181,193310183
182,220681117
183,172920927
184,260986508
185,195213675
186,247925719
187,216175253
188,212926651
189,204066551
190,215617756
191,135332196
192,195323206
193,160819119
194,172589109
195,249956458
196,205815576
197,197670818
198,207883258
199,170581659
200,205729718
201,201703358
202,230157205
203,216174231
204,216173180
205,72882726
206,160801751
207,173557858
208,162583902
209,170580388
210,242781280
211,191089547
212,29931445
213,43924153
214,172309326
215,166438257
216,225263865
217,135322157
218,162593136
219,200732479
220,176713246
221,168282061
222,178000116
223,103168071
224,173764269
225,186591556
226,162593286
227,250113073
228,162583980
229,181699076
230,198447877
231,197147134
232,196282354
233,162593187
234,249033328
235,216006578
236,249143473
237,225381612
238,171169353
239,174422886
240,252226222
241,181266509
242,169749516
243,148701811
244,217520819
245,145762126
246,168526284
247,164937168
248,120766388
249,246971535
250,248704404
251,253495139
252,207914534
253,40639597
254,199540391
255,159853930
256,217561341
257,178607570
258,172828967
259,192859201
260,168304456
261,249890023
262,172949839
263,105830021
264,208171115
265,190582098
266,216174672
267,162866839
268,252423003
269,176909016
270,198858451
271,169520871
272,128895957
273,249151803
274,205897182
275,172160182
276,216092766
277,251514670
278,99862142
279,212040697
280,113920312
281,158741127
282,141546635
283,158742790
284,160801738
285,216934468
286,125753291
287,195247535
288,193263880
289,221518066
290,249237203
291,209580167
292,225267444
293,189932777
294,72310352
295,196193895
296,163039754
297,196282517
298,11217956
299,202640583
300,170775712
301,207947529
302,194498804
303,202269832
304,131028406
305,195352781
306,225271277
307,217640502
308,217560641
309,144640940
310,215122788
311,181699158
312,217505430
313,195231233
314,212470482
315,220701017
316,175147005
317,160556149
318,198968094
319,200819471
320,125590981
321,25949745
322,91159173
