,product_id
520,136876846
521,248886140
522,261963624
523,140144656
524,188948039
525,213913762
526,213912320
527,213858174
528,191689660
529,204872160
530,159887246
531,249156531
532,195977553
533,141529940
534,194519454
535,252880040
536,213869049
537,248911602
538,199902129
539,253407100
540,194462682
541,213855927
542,213842271
543,217267741
544,213952135
545,161158099
546,209385055
547,172319352
548,70839193
549,192211290
550,85042408
551,213931247
552,193733976
553,217263084
554,179753588
555,144231179
556,252858324
557,201182424
558,91281318
559,188870406
560,116583246
561,205113403
562,198188259
563,245770363
564,197651936
565,253443652
566,167465856
567,188834089
568,177814405
569,96490448
570,193206340
571,210273613
572,53330127
573,201039728
574,192172856
575,201047013
576,168062573
577,126703130
578,181517965
579,188543973
580,188698703
581,186149961
582,167465704
583,213715031
584,196176544
585,80132874
586,38309582
587,101635486
588,217560479
589,194041787
590,168940033
591,219397711
592,225235791
593,215726589
594,225225705
595,174598949
596,179234820
597,37289936
598,189932809
599,174599533
600,164318521
601,249161227
602,213894484
603,206649454
604,173390458
605,253489331
606,181927718
607,170167264
608,163875403
609,68840521
610,159887243
611,249287176
612,196200121
613,11251770
614,188043025
615,118139108
616,120782084
617,253443951
618,252857698
619,251545952
620,212329857
621,170338314
622,207268146
623,191764688
624,172303189
625,170449059
626,193207281
627,252073020
628,243088266
629,160797086
630,113588982
631,174589577
632,188833417
633,191474322
634,118146255
635,213846637
636,181928189
637,73842403
638,160303941
639,93502532
640,249286069
641,201007184
642,190542002
643,208193365
644,216171796
645,171685825
646,262304313
647,190702606
648,251267710
649,207268160
650,144142520
651,198732327
652,158808107
653,213953778
654,242635843
655,252073000
656,224095217
657,2360457
658,161178498
659,160051501
660,162473705
661,225298417
662,208193462
663,220670303
664,188833794
665,11376644
666,96661748
667,4059671
668,190547041
669,11110653
670,170165658
671,11251735
672,188845278
673,242658327
674,169459378
675,212329629
676,252677312
677,225243333
678,168320000
679,248185228
680,252072977
681,217327253
682,11251937
683,262478001
684,195330986
685,190558358
686,190558337
687,181503298
688,217103883
689,191689899
690,225228869
691,187954641
692,191689540
693,191689809
694,165747145
695,162593229
696,68847367
697,169314326
698,225226933
699,42333095
700,213742250
701,204671569
702,243300520
703,196200655
704,262589289
705,137203873
706,68842354
707,254125720
708,188832832
709,225961272
710,213954130
711,249285505
712,178951652
713,262516231
714,217624457
715,244355503
716,248235765
717,188044095
718,230056086
719,213740950
720,215135773
721,197045354
722,194961039
723,81647765
724,190702241
725,212326387
726,159725951
727,188837747
728,23142193
729,192694043
730,213964811
731,261946899
732,197095637
733,181699370
734,251930331
735,156222386
736,198732256
737,252881776
738,193366048
739,252072952
740,198187334
741,168094334
742,53654257
743,52326343
744,174604032
745,253443788
746,252073036
747,193209870
748,187955862
749,255866251
750,262516933
751,11251935
752,252229816
753,251267508
754,181927736
755,248185860
756,54683561
757,158091991
758,251769252
759,212325991
760,118136229
761,170727305
762,205113529
763,188832981
764,186148059
765,252073167
766,11374712
767,262589811
768,225959581
769,252073205
770,117929342
771,169266793
772,225234424
773,176438846
774,191689612
775,225912504
776,191689653
777,261965186
778,249168949
779,207268082
780,4064449
781,207268144
782,262055875
783,223881880
784,191629873
785,196094112
786,254902120
787,230008424
788,197111727
789,171852890
790,252073241
791,248469947
792,251448280
793,198868573
794,262056961
795,261962220
796,216090646
797,188846950
798,181699210
799,181699331
800,191916060
801,159887172
802,212040689
803,59519631
804,172537996
805,262075320
806,173711552
807,249851724
808,244332381
809,138867253
810,116583413
811,54664144
812,59238806
813,188701072
814,169744019
815,81647773
816,243088268
817,113475741
818,217561628
819,11415485
820,192839254
821,216107577
822,249169833
823,196562133
824,167015200
825,247720861
826,171592667
827,249730338
828,252073027
829,198732321
830,243088224
831,21317020
832,253443894
833,54989813
834,190702391
835,243088246
836,190544267
837,194041977
838,52481412
839,189677315
840,252072963
841,165700071
842,93318213
843,188844932
844,251930461
845,166034907
846,129356132
847,172555765
848,193769168
849,82075493
850,200817447
851,212329190
852,194489407
853,191689878
854,11251711
855,52002453
856,214083395
857,248230301
858,197497444
859,16523479
860,243088270
861,52644706
862,225246744
863,224254109
864,243088208
865,193208134
866,219392186
867,54882670
868,112821872
869,253376519
870,249178196
871,136840120
872,31469069
873,176285303
874,251275686
875,166034912
876,207268158
877,190845657
878,252073070
879,32923672
880,225910655
881,225251266
882,21465183
883,169464835
884,176438850
885,195928164
886,92680849
887,217614118
888,225260921
889,164444757
890,262845685
891,197902452
892,199901837
893,193769065
894,190701486
895,117347869
896,188835531
897,225960096
898,101018339
899,196044608
900,225264029
901,225241398
902,191689713
903,243088229
904,16521748
905,249730334
906,262388393
907,262853673
908,196343012
909,181699314
910,192348147
911,253531741
912,158959656
913,193769136
914,251930431
915,16518032
916,262852398
917,194490386
918,225243804
919,225175114
920,223859345
921,253380146
922,117929538
923,262660017
924,225242723
925,195962857
926,230055130
927,249734070
928,207268125
929,225958846
930,193208254
931,258330471
932,193769086
933,188834734
934,224873580
935,252865847
936,220678495
937,65091422
938,261037973
939,52480318
940,81647780
941,225247922
942,140163114
943,262807197
944,136364272
945,174649410
946,181699258
947,179591105
948,168317790
949,178606785
950,164494879
951,141337014
952,198734319
953,225957987
954,58146831
955,14508445
956,190843679
957,181699053
958,176438848
959,177814407
960,144870494
961,191689727
962,249730344
963,169304867
964,252073075
965,262844839
966,262853117
967,118103703
968,53380152
969,15428119
970,209378509
971,94453667
972,251930381
973,249730339
974,196953614
975,91836155
976,175847074
977,16520424
978,188833574
979,198868735
980,29440849
981,173461557
982,137562237
983,176438864
984,176438858
985,195662979
986,166041979
987,125171841
988,219400421
989,162728553
990,4065607
991,149785248
992,102620086
993,258668285
994,249168159
995,173712024
996,181699369
997,204810590
998,191267387
999,141496858
1000,252073104
1001,158461088
1002,118124199
1003,249730336
1004,198457556
1005,127680701
1006,249167880
1007,261822969
1008,257866809
1009,205750556
1010,16518729
1011,123565891
1012,29446449
1013,189932634
1014,189934885
1015,252072962
1016,191689774
1017,181699289
1018,115830124
1019,192036708
1020,145972424
1021,176438844
1022,137572223
1023,260406257
1024,257861524
1025,258787119
1026,252072957
1027,262516014
1028,263032132
1029,263073128
1030,262852287
1031,262733935
1032,249782771
1033,262688183
1034,258766897
1035,262845848
1036,263076992
1037,263071759
1038,263072001
1039,262700914
1040,195661031
1041,251407092
1042,262387152
1043,263059025
1044,263025243
1045,118100268
1046,193769143
1047,247471196
1048,262853726
1049,263041214
1050,263072010
1051,263060294
1052,261964853
1053,262706645
1054,188030974
1055,249730342
1056,263071900
1057,263047875
1058,263117493
1059,168844555
1060,146364791
1061,179930704
1062,251457609
1063,251268330
1064,248590019
1065,173205160
1066,140940220
1067,129167166
1068,252676884
1069,205726536
1070,207475461
1071,248754839
1072,170338160
1073,252073013
1074,170165701
1075,217276360
1076,230151040
1077,215543460
1078,172335599
1079,168520983
1080,226552005
1081,172340710
1082,179438711
1083,166389506
1084,246770532
1085,72310420
1086,6597807
1087,253269077
1088,224186586
1089,167495996
1090,225266084
1091,167466044
1092,177545817
1093,258373871
1094,193979830
1095,216174917
1096,178575037
1097,4048581
1098,244173959
