,id,sku,name,discription,original_price,list_price,price,alltime_quantity_sold,quantity_sold,inventory_status,fulfillment_type,brand,category_id,category,review_count,rating_average,favourite_count,ASA_cashback,pay_later,current_seller,date_created,video_url,max_image_key
1497,207509176,8963761752493,Giày Da Nam Da Lì Vân Đà Điểu Kết Hợp Chuông Điệu Đà - Mã L206,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207509176&pid=207509365&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},3
1498,206710332,6088233114018,Giày tây nam kiểu giả dây,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=206710332&pid=206710365&seller_id=197082&qty=1', 'details': None}",Giày Chất Store,213,{},1
1499,207508846,3846755348969,Sục Da Nam Cao Câp . Phom Chuẩn Dáng Đẹp .Mẫu Mới 2022 VN02,       • Chất liệu da PU cao cấp bền đẹp theo thời gian • Mũi giày tròn Kiểu dáng xỏ có thun co giãn hai bên lưỡi giày tiện dụng • Đế bằng cao su tổng hợp xẻ rãnh chống trơn trượt Hướng dẫn sử dụn...,155000,155000,155000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,44 ASA (≈ 310đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207508846&pid=207508931&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},8
1500,207508546,3922511233002,Giày công sở nam giá rẻ Việt Nam - Da bóng Mã V2,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207508546&pid=207508570&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},8
1501,206710933,8967389138697,"Giày lười nam, giày nam đẹp Hà Nội V2",       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=206710933&pid=206710951&seller_id=197082&qty=1', 'details': None}",Giày Chất Store,213,{},5
1502,207510648,9406264295578,Sục nam đồng giá 199 VN02,       • Chất liệu da PU cao cấp bền đẹp theo thời gian • Mũi giày tròn Kiểu dáng xỏ có thun co giãn hai bên lưỡi giày tiện dụng • Đế bằng cao su tổng hợp xẻ rãnh chống trơn trượt Hướng dẫn sử dụn...,155000,155000,155000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,44 ASA (≈ 310đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207510648&pid=207510674&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},8
1503,186907481,6824865931794,GIÀY TÂY NAM ( Sản Phẩm Có Bảo Hành ),"       GIÀY TÂY CÔNG SỞ NAM   DA PU mềm mỏng sở hữu RẤT ÊM CHÂN   phù hợp ĐI làm ,ĐI TIỆC, CHÚ RỂ , CHỤP HÌNH CƯỚI   thích hợp MỌI LƯA TUỔI   SIZE từ 38 tới 43   HÀNG phân phối TẠI VIỆT NAM ...",200000,200000,200000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,85 ASA (≈ 399đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=186907481&pid=186907487&seller_id=209702&qty=1', 'details': None}",Giày da VN24H,368,{},3
1504,206710316,3368644000875,Giày Tây Nam Size từ 39 đến 43 Kiểu Dáng Lịch Lãm Thời Thượng Chất Liệu Da Tổng Hợp Mềm Mại ,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=206710316&pid=206710379&seller_id=197082&qty=1', 'details': None}",Giày Chất Store,213,{},10
1505,207509726,8787058443793,Giày Lười Da Nam Công Sở Chuông Nhung Phong Cách Hàn Quốc,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207509726&pid=207509749&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},3
1506,206710378,3468788877319,Giày Tây Nam Mũi Nhọn Phong Cách Bateno BT19,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=206710378&pid=206710411&seller_id=197082&qty=1', 'details': None}",Giày Chất Store,213,{},7
1507,207509986,8229471078547,"Giày lười nam da nhám đai khoét đơn giản , rẻ và đẹp",       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207509986&pid=207510107&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},4
1508,207507784,3814267055733,Giày tây nam phong cách trẻ trung sang trọng Xoăn Shop v3,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207507784&pid=207507795&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},8
1509,207509848,3558624176863,Giày tây nam giá rẻ  năm Xoăn Shop L201,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207509848&pid=207510002&seller_id=225804&qty=1', 'details': None}",Chất Store 247,206,{},8
1510,206710541,6721560605367,Giày Lười Nam Công Sở XOĂN SHOP Da Pu Pu Size 38 Đến 42 Màu Đen - V1,       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   CAM KẾT HÀNG KHÔNG CHUẨN HOÀN tiềƞ TRONG 3 NGÀY   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ...,159000,159000,159000,1,1.0,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,47 ASA (≈ 317đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=206710541&pid=206710602&seller_id=197082&qty=1', 'details': None}",Giày Chất Store,213,{},6
1511,207385181,4906729271561,Giày Tây Nam Công Sở xả kho giá gốc mã L193,       Chất liệu :   - Đế Cao Su   - Da PU da Pu 100%   - Gu thời trang cổ điển cực chất   - Tăng chiều cao 3 cm   ____________________________________   Giày loafer nam hay còn gọi là giày ...,160000,160000,160000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,48 ASA (≈ 319đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=207385181&pid=207385191&seller_id=209702&qty=1', 'details': None}",Giày da VN24H,208,{},9
1512,178954351,8749355950427,Giày tây nam dập vân đai kim loại đen bóng sang trọng ( Chất Store ),"       ️Giày Nam Da mềm Cao Cấp Dáng Đẹp Chất Lượng Cao , Lên Chân Cực Đẹp , Phòng Cách , thời trangg hàn quốc   Màu : Đen ,da pu mềm, đế cao su   Hàng Chuẩn , Đẹp , Và Bao Giá Toàn Quốc Cho Bạn...",205000,205000,205000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,90 ASA (≈ 410đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=178954351&pid=178954387&seller_id=225804&qty=1', 'details': None}",Chất Store 247,411,{},8
1513,88817959,2121351487518,Giày tây nam da lì han quốc khóa bính vàng ô vuông,"       Giày tây nam   - Hàng được cung cấp tại Việt Nam.   - chiếc mã thởi trang,   - Chất liệu mặt giày simili ( da nhân tạo, da xí nghiệp), dày dặn mềm tha hồ chân.   - Đế giày được khiến ch...",210000,210000,210000,{},,available,dropship,OEM,2,Root,0,0.0,0,"Thưởng 1,94 ASA (≈ 419đ)","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=88817959&pid=88817977&seller_id=177098&qty=1', 'details': None}",Giày da thật 24H,810,{},2
